Quantity,Hardware Description with Size,Grade,Length (in)
2,"Steel 3/4"" Turnbuckle",SAE Grade 8,6.877
178,ASTM A307 M12 All Thread Rod,ASTM B8M Class 2,8.817
122,"Aluminum 3/4"" Turnbuckle",SAE J429 Grade 8,19.825
168,"Aluminum 3/4"" Turnbuckle",ASTM F1554 Grade 36,5.313
158,"ASTM A449 3/4"" Stud",ASTM F1554 Grade 36,18.7
101,"SS 1/4""-20 Hex Bolt",ASTM B8M Class 2,0.565
85,"SS 1/2""-13 Hex Bolt",ASTM A354 Grade BD,11.224
194,"SS 1/2"" Flat Washer",SAE J429 Grade 5,0.76
176,"ASTM A502 3/4"" Solid Rivet",ASTM A354 Grade BC,19.776
75,"ASTM A449 1/2"" Stud",ASTM A354 Grade BC,12.146
150,ASTM A307 M12 All Thread Rod,ASTM A354 Grade BC,9.42
197,"A563 5/8"" Heavy Hex Nut",ASTM F1554 Grade 36,6.452
187,"SS 3/4"" Flat Washer",SAE Grade 5,10.828
8,SS M12x1.75 Hex Bolt,ASTM F1554 Grade 55,19.131
38,"Steel 5/8"" Turnbuckle",ASTM A354 Grade BD,8.898
188,"SS 3/4"" Flat Washer",ASTM F1554 Grade 36,2.131
13,"SS 3/4""-10 Hex Bolt",ASTM F1554 Grade 36,7.412
165,"ASTM A502 3/4"" Solid Rivet",ASTM A307 Grade A,6.692
175,"SS 5/8""-11 Hex Bolt",SAE J429 Grade 5,7.42
65,"SS 3/4""-10 Hex Bolt",SAE Grade 8,9.011
35,"Aluminum 3/4"" Turnbuckle",ASTM A307 Grade B,19.373
36,"ASTM A449 1/2"" Stud",ASTM B8 Class 1,1.908
181,"Aluminum 5/8"" Turnbuckle",ASTM F1554 Grade 36,6.589
192,"ASTM A502 3/4"" Solid Rivet",ASTM A307 Grade A,0.491
31,"SS 1/2"" Flat Washer",ASTM F1554 Grade 105,19.545
85,ASTM A307 M12 All Thread Rod,ASTM A325,8.281
62,"ASTM F1554 5/8"" Anchor Bolt",ASTM B8M Class 2,5.212
30,"ASTM A502 3/4"" Solid Rivet",ASTM A354 Grade BC,11.728
159,"SS 5/8""-11 Hex Bolt",ASTM A307 Grade B,17.723
164,"SS 3/8""-16 Hex Bolt",ASTM A354 Grade BD,6.128
142,"Steel 3/4"" Turnbuckle",ASTM A325,8.073
8,"ASTM A307 1/2"" All Thread Rod",SAE Grade 8,18.829
43,"ASTM A449 1/2"" Stud",ASTM A354 Grade BC,10.905
136,"SS 1/4""-20 Hex Bolt",ASTM F1554 Grade 36,2.712
52,SS M16x2.0 Hex Bolt,SAE J429 Grade 5,15.922
41,SS M10x1.5 Hex Bolt,ASTM A490,5.383
51,SS M16x2.0 Hex Bolt,ASTM A307 Grade A,17.51
88,"A563 3/4"" Heavy Hex Nut",ASTM F1554 Grade 55,0.357
194,"ASTM A502 3/4"" Solid Rivet",ASTM A354 Grade BC,13.872
125,SS M16x2.0 Hex Bolt,SAE Grade 5,4.936
45,"ASTM A449 1/2"" Stud",ASTM A325,14.552
187,"A563 3/4"" Heavy Hex Nut",SAE Grade 5,9.398
67,"Aluminum 5/8"" Turnbuckle",ASTM A354 Grade BD,17.103
44,"ASTM F1554 3/4"" Anchor Bolt",ASTM F1554 Grade 36,4.114
66,"SS 3/4""-10 Hex Bolt",SAE J429 Grade 5,10.773
145,"Steel 3/4"" Turnbuckle",ASTM A307 Grade A,14.399
41,"A563 3/4"" Heavy Hex Nut",ASTM A354 Grade BC,13.96
54,ASTM A307 M12 All Thread Rod,ASTM F1554 Grade 105,19.04
139,"SS 1/2"" Flat Washer",SAE Grade 8,5.227
96,"ASTM A502 1/2"" Solid Rivet",ASTM F1554 Grade 36,8.752
13,"ASTM A449 3/4"" Stud",SAE J429 Grade 8,9.281
178,"A563 5/8"" Heavy Hex Nut",SAE Grade 5,4.91
61,"SS 1/4""-20 Hex Bolt",SAE J429 Grade 5,9.609
40,"Steel 3/4"" Turnbuckle",ASTM A307 Grade A,11.388
142,"SS 3/4"" Flat Washer",ASTM A307 Grade B,6.768
129,"SS 1/4""-20 Hex Bolt",SAE J429 Grade 2,19.641
57,SS M12x1.75 Hex Bolt,ASTM B8M Class 2,10.315
187,"SS 1/2""-13 Hex Bolt",ASTM B8 Class 1,3.396
143,SS M12x1.75 Hex Bolt,ASTM A490,10.194
119,"ASTM A449 3/4"" Stud",ASTM A354 Grade BD,8.656
198,"SS 3/8""-16 Hex Bolt",ASTM A307 Grade B,12.494
192,SS M16x2.0 Hex Bolt,ASTM F1554 Grade 36,5.696
188,"SS 3/4"" Flat Washer",ASTM B8 Class 1,16.428
181,"SS 3/4""-10 Hex Bolt",ASTM A307 Grade B,1.402
160,SS M8x1.25 Hex Bolt,ASTM A354 Grade BD,16.391
168,"SS 3/4"" Flat Washer",ASTM B8 Class 1,6.894
198,"SS 1/2"" Flat Washer",ASTM A307 Grade B,1.447
167,"SS 1""-8 Hex Bolt",ASTM B8M Class 2,17.074
89,ASTM A307 M12 All Thread Rod,ASTM A490,17.26
152,"ASTM A449 3/4"" Stud",ASTM B8 Class 1,8.278
169,"SS 1/2""-13 Hex Bolt",ASTM A307 Grade A,4.012
2,"SS 1/2"" Flat Washer",SAE Grade 8,10.899
15,"SS 5/8""-11 Hex Bolt",ASTM F1554 Grade 55,2.328
45,"ASTM A307 1/2"" All Thread Rod",ASTM A490,12.289
102,"ASTM A502 3/4"" Solid Rivet",ASTM A307 Grade B,8.089
192,"Steel 5/8"" Turnbuckle",ASTM A307 Grade A,9.718
73,"ASTM F1554 3/4"" Anchor Bolt",ASTM A307 Grade B,9.07
44,"SS 1/2"" Flat Washer",SAE J429 Grade 2,15.039
60,"Steel 5/8"" Turnbuckle",ASTM A307 Grade B,19.917
11,SS M16x2.0 Hex Bolt,ASTM F1554 Grade 105,10.003
62,"SS 1/2""-13 Hex Bolt",SAE Grade 8,6.306
36,"SS 1/4""-20 Hex Bolt",ASTM B8 Class 1,1.303
174,"SS 3/8""-16 Hex Bolt",ASTM A307 Grade B,18.484
186,"SS 5/8""-11 Hex Bolt",ASTM B8 Class 1,1.795
188,"A563 5/8"" Heavy Hex Nut",SAE J429 Grade 5,14.94
197,"Aluminum 5/8"" Turnbuckle",ASTM B8 Class 1,3.608
179,"SS 3/8""-16 Hex Bolt",SAE J429 Grade 5,14.547
189,"SS 1/2"" Flat Washer",ASTM F1554 Grade 55,12.938
194,SS M16x2.0 Hex Bolt,ASTM A307 Grade B,12.875
87,"SS 3/4""-10 Hex Bolt",ASTM F1554 Grade 36,10.182
183,"ASTM A307 3/4"" All Thread Rod",ASTM F1554 Grade 55,0.664
109,SS M16x2.0 Hex Bolt,ASTM A307 Grade A,16.565
180,"ASTM F1554 5/8"" Anchor Bolt",SAE J429 Grade 5,2.72
192,"ASTM F1554 5/8"" Anchor Bolt",ASTM A307 Grade B,13.156
138,SS M10x1.5 Hex Bolt,ASTM A354 Grade BD,10.061
37,"ASTM A307 1/2"" All Thread Rod",SAE Grade 8,14.644
101,"Steel 3/4"" Turnbuckle",ASTM B8 Class 1,8.343
4,"SS 1/4""-20 Hex Bolt",ASTM B8 Class 1,2.67
87,"ASTM F1554 5/8"" Anchor Bolt",ASTM F1554 Grade 105,0.124
165,SS M12x1.75 Hex Bolt,ASTM F1554 Grade 36,10.907
198,"A563 5/8"" Heavy Hex Nut",ASTM A354 Grade BC,16.916
3,"Aluminum 5/8"" Turnbuckle",ASTM A354 Grade BD,6.743
190,"SS 1/2""-13 Hex Bolt",SAE Grade 5,7.821
3,"SS 3/8""-16 Hex Bolt",ASTM B8M Class 2,17.588
44,"SS 3/4"" Flat Washer",ASTM A490,19.47
95,"SS 1""-8 Hex Bolt",SAE J429 Grade 5,11.878
53,"SS 1/2"" Flat Washer",SAE Grade 5,6.592
48,"ASTM F1554 5/8"" Anchor Bolt",ASTM A354 Grade BC,3.602
106,"ASTM A502 3/4"" Solid Rivet",SAE Grade 5,0.951
157,SS M10x1.5 Hex Bolt,ASTM A307 Grade A,8.252
125,"ASTM F1554 3/4"" Anchor Bolt",ASTM A354 Grade BC,18.654
132,"ASTM A449 3/4"" Stud",ASTM B8 Class 1,5.575
129,"SS 1""-8 Hex Bolt",ASTM F1554 Grade 105,12.137
117,"Aluminum 5/8"" Turnbuckle",ASTM F1554 Grade 36,5.168
156,"ASTM F1554 3/4"" Anchor Bolt",ASTM F1554 Grade 36,8.35
18,"ASTM A307 1/2"" All Thread Rod",ASTM B8M Class 2,9.62
9,SS M8x1.25 Hex Bolt,SAE Grade 5,0.331
131,"A563 5/8"" Heavy Hex Nut",SAE J429 Grade 5,0.896
122,SS M16x2.0 Hex Bolt,ASTM A490,12.026
61,"SS 1""-8 Hex Bolt",ASTM A325,5.193
125,"SS 1/4""-20 Hex Bolt",ASTM B8M Class 2,18.534
145,"ASTM A307 3/4"" All Thread Rod",ASTM B8M Class 2,5.233
102,"Steel 5/8"" Turnbuckle",ASTM A307 Grade A,3.956
8,"ASTM A449 3/4"" Stud",SAE J429 Grade 5,15.885
106,"ASTM A307 1/2"" All Thread Rod",ASTM A354 Grade BC,12.845
13,"ASTM F1554 3/4"" Anchor Bolt",ASTM A307 Grade A,6.07
49,"Steel 5/8"" Turnbuckle",ASTM B8 Class 1,5.686
109,"SS 3/4"" Flat Washer",ASTM A307 Grade B,5.39
117,"SS 1""-8 Hex Bolt",ASTM A307 Grade B,8.938
5,SS M12x1.75 Hex Bolt,ASTM B8M Class 2,7.019
153,"ASTM F1554 3/4"" Anchor Bolt",ASTM A325,3.495
60,"SS 1""-8 Hex Bolt",ASTM A354 Grade BC,10.426
195,SS M12x1.75 Hex Bolt,ASTM A307 Grade A,5.898
122,"Steel 5/8"" Turnbuckle",ASTM A325,6.569
155,"ASTM A307 1/2"" All Thread Rod",ASTM A307 Grade A,1.139
94,"ASTM A307 1/2"" All Thread Rod",SAE Grade 8,19.213
86,SS M10x1.5 Hex Bolt,ASTM A325,11.163
54,"Aluminum 3/4"" Turnbuckle",SAE Grade 5,16.443
177,"SS 3/4"" Flat Washer",ASTM A354 Grade BD,1.697
145,"SS 1/4""-20 Hex Bolt",ASTM A307 Grade B,10.783
116,SS M12x1.75 Hex Bolt,SAE J429 Grade 5,7.729
140,"Steel 5/8"" Turnbuckle",SAE J429 Grade 2,13.916
106,"ASTM A502 3/4"" Solid Rivet",ASTM F1554 Grade 36,4.943
116,"ASTM A502 3/4"" Solid Rivet",ASTM A307 Grade A,18.599
75,"SS 3/4"" Flat Washer",ASTM F1554 Grade 105,15.968
199,"SS 1""-8 Hex Bolt",ASTM A307 Grade A,2.521
20,"ASTM A449 1/2"" Stud",ASTM A307 Grade A,6.504
122,"SS 1/2"" Flat Washer",ASTM F1554 Grade 36,14.255
150,"SS 3/4"" Flat Washer",ASTM A490,11.51
19,"Aluminum 5/8"" Turnbuckle",ASTM F1554 Grade 105,5.773
112,"Steel 5/8"" Turnbuckle",SAE Grade 8,0.371
173,"SS 3/4""-10 Hex Bolt",SAE J429 Grade 5,11.453
59,"ASTM A307 1/2"" All Thread Rod",ASTM B8 Class 1,19.423
172,"A563 3/4"" Heavy Hex Nut",ASTM A490,4.386
193,"ASTM A449 1/2"" Stud",ASTM A307 Grade B,7.765
10,ASTM A307 M12 All Thread Rod,SAE J429 Grade 5,2.112
95,"Aluminum 5/8"" Turnbuckle",ASTM A307 Grade B,15.524
169,"ASTM A307 1/2"" All Thread Rod",ASTM A307 Grade A,7.453
24,"A563 5/8"" Heavy Hex Nut",SAE J429 Grade 8,1.209
151,"SS 1/2"" Flat Washer",ASTM F1554 Grade 36,19.738
156,"SS 3/4""-10 Hex Bolt",SAE J429 Grade 2,15.688
166,"ASTM F1554 5/8"" Anchor Bolt",ASTM A307 Grade A,13.346
27,"ASTM F1554 3/4"" Anchor Bolt",ASTM A490,5.436
175,"SS 1/2""-13 Hex Bolt",SAE J429 Grade 8,2.357
196,"SS 1/2"" Flat Washer",ASTM A325,18.933
50,"SS 5/8""-11 Hex Bolt",ASTM B8 Class 1,1.197
169,"ASTM F1554 5/8"" Anchor Bolt",ASTM F1554 Grade 55,5.408
147,ASTM A307 M12 All Thread Rod,SAE Grade 5,9.348
51,"SS 5/8""-11 Hex Bolt",ASTM B8M Class 2,10.292
147,SS M16x2.0 Hex Bolt,SAE J429 Grade 2,16.692
62,"ASTM A307 1/2"" All Thread Rod",ASTM A354 Grade BD,4.429
192,"SS 1/4""-20 Hex Bolt",ASTM F1554 Grade 55,4.927
48,"SS 1/2"" Flat Washer",SAE J429 Grade 5,9.674
11,"Steel 5/8"" Turnbuckle",ASTM A307 Grade A,11.029
98,"SS 3/8""-16 Hex Bolt",ASTM A307 Grade A,19.851
181,"ASTM A307 3/4"" All Thread Rod",ASTM A490,12.856
76,"A563 3/4"" Heavy Hex Nut",SAE J429 Grade 8,8.307
2,"SS 5/8""-11 Hex Bolt",ASTM F1554 Grade 55,13.318
187,"Steel 3/4"" Turnbuckle",ASTM A490,16.949
108,"ASTM A502 1/2"" Solid Rivet",ASTM F1554 Grade 55,16.544
48,SS M8x1.25 Hex Bolt,ASTM A307 Grade A,7.626
153,"ASTM A502 1/2"" Solid Rivet",ASTM F1554 Grade 55,2.808
145,"ASTM A502 1/2"" Solid Rivet",ASTM A490,5.942
60,"SS 1/4""-20 Hex Bolt",ASTM A325,5.939
167,"SS 1/4""-20 Hex Bolt",SAE J429 Grade 2,5.241
166,"ASTM A502 1/2"" Solid Rivet",SAE Grade 8,18.652
16,"SS 5/8""-11 Hex Bolt",ASTM B8M Class 2,18.209
177,"ASTM A307 1/2"" All Thread Rod",ASTM A307 Grade A,13.621
187,"SS 5/8""-11 Hex Bolt",ASTM A490,10.594
76,SS M10x1.5 Hex Bolt,ASTM A307 Grade A,8.835
22,"ASTM A502 3/4"" Solid Rivet",ASTM A354 Grade BC,9.796
23,"ASTM A307 3/4"" All Thread Rod",ASTM A490,3.798
84,"SS 5/8""-11 Hex Bolt",SAE J429 Grade 2,3.775
12,"Steel 3/4"" Turnbuckle",SAE J429 Grade 8,12.171
57,"Aluminum 5/8"" Turnbuckle",ASTM F1554 Grade 105,13.59
195,"ASTM A502 1/2"" Solid Rivet",SAE J429 Grade 8,6.694
177,"ASTM A449 1/2"" Stud",ASTM A354 Grade BD,1.143
78,"ASTM A502 3/4"" Solid Rivet",SAE Grade 5,15.223
51,"ASTM A449 1/2"" Stud",ASTM F1554 Grade 105,10.211
171,"Aluminum 3/4"" Turnbuckle",ASTM F1554 Grade 55,6.49
173,"SS 1""-8 Hex Bolt",SAE Grade 8,14.58
40,SS M16x2.0 Hex Bolt,ASTM A354 Grade BD,5.436
173,"ASTM A502 1/2"" Solid Rivet",ASTM A490,3.799
140,"SS 1/2"" Flat Washer",ASTM A307 Grade A,17.326
184,"SS 1""-8 Hex Bolt",ASTM A354 Grade BD,1.593
121,"SS 1/4""-20 Hex Bolt",ASTM A307 Grade B,9.328
145,"ASTM A307 3/4"" All Thread Rod",SAE Grade 8,18.777
53,"A563 5/8"" Heavy Hex Nut",ASTM F1554 Grade 36,6.274
15,"Aluminum 3/4"" Turnbuckle",SAE J429 Grade 5,4.927
2,"SS 1/4""-20 Hex Bolt",ASTM A490,0.884
115,"ASTM F1554 5/8"" Anchor Bolt",ASTM B8 Class 1,5.349
67,"ASTM A307 1/2"" All Thread Rod",ASTM A325,19.474
34,SS M12x1.75 Hex Bolt,ASTM A307 Grade A,7.939
181,"Aluminum 3/4"" Turnbuckle",SAE J429 Grade 5,14.051
132,SS M16x2.0 Hex Bolt,ASTM A325,8.909
71,"Aluminum 3/4"" Turnbuckle",ASTM F1554 Grade 36,5.054
146,"SS 3/8""-16 Hex Bolt",ASTM A490,10.64
58,"Steel 3/4"" Turnbuckle",SAE J429 Grade 8,18.686
27,SS M10x1.5 Hex Bolt,ASTM A325,14.373
193,"ASTM A502 1/2"" Solid Rivet",SAE J429 Grade 5,0.488
57,"Aluminum 5/8"" Turnbuckle",SAE J429 Grade 2,1.003
111,SS M8x1.25 Hex Bolt,ASTM B8 Class 1,7.192
15,"A563 5/8"" Heavy Hex Nut",SAE J429 Grade 8,15.371
16,"SS 5/8""-11 Hex Bolt",ASTM A307 Grade B,17.201
31,"ASTM F1554 5/8"" Anchor Bolt",ASTM A354 Grade BD,2.738
198,SS M10x1.5 Hex Bolt,SAE J429 Grade 5,1.329
12,"ASTM F1554 3/4"" Anchor Bolt",ASTM B8 Class 1,2.975
155,"SS 3/4"" Flat Washer",ASTM A307 Grade B,7.722
184,SS M8x1.25 Hex Bolt,ASTM B8 Class 1,12.634
157,"A563 5/8"" Heavy Hex Nut",ASTM B8 Class 1,0.748
186,"A563 3/4"" Heavy Hex Nut",SAE J429 Grade 2,13.036
67,SS M10x1.5 Hex Bolt,ASTM A354 Grade BD,1.568
94,SS M12x1.75 Hex Bolt,ASTM F1554 Grade 36,7.86
99,"SS 1""-8 Hex Bolt",ASTM F1554 Grade 36,2.412
5,"ASTM A502 3/4"" Solid Rivet",ASTM B8 Class 1,12.392
138,SS M10x1.5 Hex Bolt,ASTM B8 Class 1,4.501
22,"Aluminum 5/8"" Turnbuckle",ASTM B8M Class 2,0.846
125,"ASTM A502 1/2"" Solid Rivet",ASTM F1554 Grade 36,19.919
20,"A563 3/4"" Heavy Hex Nut",ASTM A307 Grade B,15.873
180,SS M8x1.25 Hex Bolt,ASTM B8 Class 1,1.283
121,"ASTM A502 1/2"" Solid Rivet",SAE Grade 8,11.615
63,SS M16x2.0 Hex Bolt,SAE Grade 5,16.119
56,"Aluminum 3/4"" Turnbuckle",ASTM A325,3.091
68,"SS 1""-8 Hex Bolt",ASTM F1554 Grade 105,14.776
172,"Aluminum 5/8"" Turnbuckle",ASTM A307 Grade A,9.925
74,ASTM A307 M12 All Thread Rod,ASTM B8 Class 1,10.847
185,"Steel 3/4"" Turnbuckle",ASTM A490,13.298
7,"SS 1/2""-13 Hex Bolt",ASTM B8M Class 2,10.726
39,"ASTM A502 1/2"" Solid Rivet",ASTM F1554 Grade 55,13.891
52,SS M16x2.0 Hex Bolt,ASTM A490,5.282
197,"A563 5/8"" Heavy Hex Nut",ASTM A325,14.983
140,"Aluminum 3/4"" Turnbuckle",ASTM A354 Grade BD,16.307
69,"A563 5/8"" Heavy Hex Nut",ASTM A325,6.376
176,"SS 1/4""-20 Hex Bolt",SAE J429 Grade 5,12.088
168,"Aluminum 5/8"" Turnbuckle",ASTM A354 Grade BC,11.436
35,"ASTM A307 3/4"" All Thread Rod",ASTM B8 Class 1,11.113
186,"ASTM A307 1/2"" All Thread Rod",ASTM A325,19.141
11,SS M8x1.25 Hex Bolt,ASTM A490,9.195
171,"Aluminum 3/4"" Turnbuckle",SAE J429 Grade 5,19.149
10,"SS 5/8""-11 Hex Bolt",ASTM F1554 Grade 55,3.697
100,"ASTM A449 1/2"" Stud",ASTM A354 Grade BD,14.841
107,"A563 3/4"" Heavy Hex Nut",ASTM A490,8.861
74,"SS 1/2"" Flat Washer",ASTM F1554 Grade 36,17.609
107,"ASTM A307 1/2"" All Thread Rod",ASTM F1554 Grade 105,9.92
62,"Aluminum 5/8"" Turnbuckle",ASTM A354 Grade BC,7.623
85,"ASTM F1554 5/8"" Anchor Bolt",ASTM F1554 Grade 105,8.19
29,"ASTM A502 1/2"" Solid Rivet",ASTM A325,10.13
8,"SS 3/8""-16 Hex Bolt",ASTM A490,10.796
10,"ASTM A307 1/2"" All Thread Rod",ASTM F1554 Grade 55,11.869
144,SS M8x1.25 Hex Bolt,ASTM A307 Grade B,9.717
4,"ASTM A307 3/4"" All Thread Rod",SAE J429 Grade 5,16.27
51,"SS 1/4""-20 Hex Bolt",ASTM F1554 Grade 55,14.364
142,"ASTM A307 3/4"" All Thread Rod",ASTM F1554 Grade 55,17.307
32,"ASTM A307 1/2"" All Thread Rod",ASTM A325,5.739
68,"ASTM A449 3/4"" Stud",ASTM B8M Class 2,5.829
6,"SS 3/8""-16 Hex Bolt",SAE Grade 5,9.102
155,"SS 1/2"" Flat Washer",ASTM A307 Grade B,16.05
139,SS M8x1.25 Hex Bolt,ASTM A307 Grade B,8.293
164,ASTM A307 M12 All Thread Rod,SAE J429 Grade 2,1.03
79,SS M8x1.25 Hex Bolt,ASTM B8M Class 2,4.478
106,"ASTM A502 3/4"" Solid Rivet",SAE J429 Grade 8,19.005
4,"ASTM A307 3/4"" All Thread Rod",ASTM A490,9.636
48,"Steel 3/4"" Turnbuckle",ASTM F1554 Grade 55,17.742
71,SS M16x2.0 Hex Bolt,ASTM A307 Grade A,16.517
45,"SS 1""-8 Hex Bolt",ASTM B8M Class 2,4.781
13,"ASTM A502 1/2"" Solid Rivet",ASTM B8M Class 2,18.555
81,SS M10x1.5 Hex Bolt,ASTM A307 Grade B,10.363
169,"ASTM A502 3/4"" Solid Rivet",SAE Grade 8,10.945
156,"ASTM A307 1/2"" All Thread Rod",ASTM B8M Class 2,11.886
156,"ASTM A449 1/2"" Stud",ASTM A490,3.438
50,"SS 3/8""-16 Hex Bolt",ASTM F1554 Grade 105,15.424
90,"Aluminum 5/8"" Turnbuckle",ASTM A490,4.64
126,"A563 5/8"" Heavy Hex Nut",ASTM B8M Class 2,12.806
108,"SS 1/2""-13 Hex Bolt",ASTM A490,18.085
58,"SS 1/2"" Flat Washer",ASTM A354 Grade BC,13.712
93,ASTM A307 M12 All Thread Rod,ASTM A354 Grade BC,16.431
55,"ASTM A502 1/2"" Solid Rivet",SAE Grade 5,12.346
72,"SS 3/4""-10 Hex Bolt",SAE J429 Grade 8,7.034
71,"ASTM A502 3/4"" Solid Rivet",ASTM A490,19.774
189,SS M8x1.25 Hex Bolt,ASTM A490,19.802
110,"Steel 3/4"" Turnbuckle",SAE Grade 5,9.889
61,"A563 3/4"" Heavy Hex Nut",ASTM F1554 Grade 36,9.104
195,"A563 5/8"" Heavy Hex Nut",ASTM F1554 Grade 36,14.087
96,"SS 1/2""-13 Hex Bolt",ASTM A307 Grade A,16.243
112,SS M10x1.5 Hex Bolt,SAE J429 Grade 5,18.768
136,"ASTM A307 3/4"" All Thread Rod",ASTM A490,6.223
145,"ASTM F1554 5/8"" Anchor Bolt",SAE J429 Grade 2,1.368
30,"Steel 3/4"" Turnbuckle",SAE J429 Grade 5,13.8
95,"SS 3/4"" Flat Washer",SAE Grade 5,12.422
138,"A563 3/4"" Heavy Hex Nut",ASTM B8 Class 1,12.703
174,"SS 1""-8 Hex Bolt",SAE Grade 5,19.44
11,SS M16x2.0 Hex Bolt,ASTM A354 Grade BC,13.129
146,SS M10x1.5 Hex Bolt,SAE J429 Grade 8,6.396
49,"Steel 5/8"" Turnbuckle",ASTM B8 Class 1,3.776
102,"SS 3/4""-10 Hex Bolt",ASTM A490,8.495
14,"SS 3/8""-16 Hex Bolt",ASTM A490,8.436
181,"ASTM A449 1/2"" Stud",ASTM A354 Grade BC,4.93
55,"SS 1""-8 Hex Bolt",ASTM F1554 Grade 55,2.556
48,SS M8x1.25 Hex Bolt,ASTM F1554 Grade 55,17.183
61,"SS 1""-8 Hex Bolt",SAE Grade 8,19.561
183,"ASTM A502 1/2"" Solid Rivet",ASTM B8 Class 1,19.145
131,"SS 3/8""-16 Hex Bolt",ASTM A490,10.316
22,SS M12x1.75 Hex Bolt,ASTM A490,10.468
141,SS M12x1.75 Hex Bolt,ASTM F1554 Grade 36,19.65
63,"SS 1/2""-13 Hex Bolt",ASTM A307 Grade B,11.778
132,"A563 5/8"" Heavy Hex Nut",ASTM A354 Grade BC,10.299
115,"ASTM A307 1/2"" All Thread Rod",SAE Grade 5,18.448
154,"ASTM F1554 3/4"" Anchor Bolt",ASTM B8M Class 2,9.374
58,"Aluminum 5/8"" Turnbuckle",ASTM B8M Class 2,19.57
186,"SS 1/4""-20 Hex Bolt",ASTM F1554 Grade 55,14.966
185,"SS 1/2""-13 Hex Bolt",ASTM B8 Class 1,14.634
160,"SS 3/4""-10 Hex Bolt",ASTM A490,8.592
35,"ASTM F1554 3/4"" Anchor Bolt",ASTM A354 Grade BD,15.74
29,"ASTM A502 3/4"" Solid Rivet",SAE J429 Grade 5,3.735
139,"ASTM F1554 3/4"" Anchor Bolt",ASTM B8 Class 1,12.112
89,"SS 3/8""-16 Hex Bolt",SAE J429 Grade 2,18.95
167,SS M12x1.75 Hex Bolt,ASTM A354 Grade BC,9.228
14,"ASTM A449 3/4"" Stud",ASTM F1554 Grade 105,9.629
105,"A563 5/8"" Heavy Hex Nut",SAE J429 Grade 5,1.845
96,"ASTM F1554 3/4"" Anchor Bolt",ASTM B8M Class 2,15.535
105,"SS 1""-8 Hex Bolt",ASTM A354 Grade BD,16.586
32,"Aluminum 5/8"" Turnbuckle",ASTM B8 Class 1,4.862
76,"SS 3/4""-10 Hex Bolt",ASTM A325,12.964
82,"ASTM F1554 5/8"" Anchor Bolt",SAE Grade 8,14.968
200,"Aluminum 5/8"" Turnbuckle",ASTM B8M Class 2,1.596
139,"A563 5/8"" Heavy Hex Nut",SAE Grade 5,7.617
174,"Aluminum 3/4"" Turnbuckle",ASTM A307 Grade B,1.936
98,"A563 3/4"" Heavy Hex Nut",ASTM A490,18.455
9,SS M16x2.0 Hex Bolt,ASTM F1554 Grade 55,18.618
199,SS M10x1.5 Hex Bolt,ASTM A325,17.783
103,"Aluminum 3/4"" Turnbuckle",ASTM A325,8.999
190,"Steel 5/8"" Turnbuckle",ASTM A307 Grade B,4.968
70,"ASTM A449 1/2"" Stud",SAE J429 Grade 2,11.183
115,"ASTM F1554 5/8"" Anchor Bolt",ASTM A354 Grade BD,19.743
91,"Aluminum 5/8"" Turnbuckle",SAE Grade 8,3.157
120,"SS 5/8""-11 Hex Bolt",ASTM A325,17.795
35,"Steel 5/8"" Turnbuckle",ASTM A307 Grade B,6.238
198,"ASTM A307 3/4"" All Thread Rod",ASTM F1554 Grade 55,3.139
29,"Aluminum 5/8"" Turnbuckle",ASTM A325,9.589
40,"Aluminum 3/4"" Turnbuckle",ASTM A354 Grade BC,15.497
136,"SS 3/4""-10 Hex Bolt",ASTM A354 Grade BD,18.17
200,"Steel 3/4"" Turnbuckle",ASTM A490,7.285
143,SS M10x1.5 Hex Bolt,ASTM A354 Grade BD,7.469
197,SS M12x1.75 Hex Bolt,ASTM A354 Grade BC,14.063
143,"ASTM A307 1/2"" All Thread Rod",SAE Grade 8,6.865
112,"Steel 5/8"" Turnbuckle",SAE Grade 8,16.791
120,"SS 5/8""-11 Hex Bolt",ASTM B8M Class 2,2.941
115,"ASTM A307 3/4"" All Thread Rod",SAE Grade 8,17.406
31,ASTM A307 M12 All Thread Rod,SAE J429 Grade 2,1.512
159,"ASTM A449 3/4"" Stud",ASTM A354 Grade BC,2.004
142,"SS 3/4"" Flat Washer",ASTM F1554 Grade 105,17.372
173,"ASTM A449 1/2"" Stud",ASTM A490,11.208
125,"A563 5/8"" Heavy Hex Nut",ASTM A307 Grade B,11.956
23,SS M10x1.5 Hex Bolt,SAE Grade 8,19.053
126,"ASTM A502 1/2"" Solid Rivet",ASTM F1554 Grade 36,10.395
187,"Aluminum 5/8"" Turnbuckle",ASTM F1554 Grade 55,9.017
140,SS M10x1.5 Hex Bolt,ASTM F1554 Grade 105,17.327
190,"SS 3/8""-16 Hex Bolt",ASTM A354 Grade BD,3.898
48,"SS 1""-8 Hex Bolt",SAE J429 Grade 2,8.944
115,"ASTM F1554 3/4"" Anchor Bolt",ASTM A307 Grade A,0.468
66,"ASTM A449 3/4"" Stud",ASTM A354 Grade BC,7.747
190,"A563 5/8"" Heavy Hex Nut",ASTM A325,7.302
78,"SS 5/8""-11 Hex Bolt",SAE Grade 5,11.905
135,"SS 3/4"" Flat Washer",ASTM A490,11.546
114,ASTM A307 M12 All Thread Rod,ASTM A325,17.656
