Quantity,Material with Thickness,Grade,Length (ft)
29,L3x3x1/4 Angle,ASTM A709 Grade 50,14.43
32,HSS6x6x3/8 Hollow Structural Section,ASTM A588,5.04
44,PL 3/8 Steel Plate,ASTM A500 Grade B,3.5
11,C8x11.5 Channel,ASTM A500 Grade B,1.31
37,PL 3/8 Steel Plate,ASTM A36,6.61
44,W10x22 Wide Flange Beam,ASTM A500 Grade C,36.97
4,L3x3x1/4 Angle,ASTM A709 Grade 50,5.21
5,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,9.04
22,HSS4x4x1/4 Hollow Structural Section,ASTM A36,35.94
35,W10x22 Wide Flange Beam,ASTM A992,16.79
13,C10x15.3 Channel,ASTM A500 Grade B,31.34
4,C10x15.3 Channel,ASTM A36,3.05
49,L4x4x3/8 Angle,ASTM A709 Grade 50,24.64
26,L3x3x1/4 Angle,ASTM A572 Grade 50,38.48
35,W8x18 Wide Flange Beam,ASTM A588,26.78
49,PL 1/2 Steel Plate,ASTM A572 Grade 50,32.66
12,W10x22 Wide Flange Beam,ASTM A588,32.5
48,C8x11.5 Channel,ASTM A36,21.41
8,W8x18 Wide Flange Beam,ASTM A709 Grade 50,6.89
40,C10x15.3 Channel,ASTM A588,17.95
3,C10x15.3 Channel,ASTM A36,21.33
3,W10x22 Wide Flange Beam,ASTM A500 Grade C,7.72
7,C8x11.5 Channel,ASTM A36,32.08
29,PL 3/8 Steel Plate,ASTM A709 Grade 50,36.41
16,W8x18 Wide Flange Beam,ASTM A709 Grade 50,3.52
30,PL 3/8 Steel Plate,ASTM A500 Grade C,8.87
7,W10x22 Wide Flange Beam,ASTM A500 Grade B,32.92
13,W10x22 Wide Flange Beam,ASTM A992,17.16
37,L4x4x3/8 Angle,ASTM A500 Grade C,10.39
43,W10x22 Wide Flange Beam,ASTM A500 Grade B,28.89
39,C10x15.3 Channel,ASTM A572 Grade 50,7.19
13,HSS4x4x1/4 Hollow Structural Section,ASTM A992,25.58
13,L4x4x3/8 Angle,ASTM A500 Grade B,38.63
37,PL 1/2 Steel Plate,ASTM A500 Grade B,38.45
18,L4x4x3/8 Angle,ASTM A588,22.58
23,W8x18 Wide Flange Beam,ASTM A588,30.12
22,C8x11.5 Channel,ASTM A572 Grade 50,28.59
24,W8x18 Wide Flange Beam,ASTM A992,3.86
41,L3x3x1/4 Angle,ASTM A588,6.12
9,PL 1/2 Steel Plate,ASTM A709 Grade 50,2.03
36,PL 1/2 Steel Plate,ASTM A500 Grade B,19.82
7,C10x15.3 Channel,ASTM A992,23.1
22,C8x11.5 Channel,ASTM A500 Grade B,24.23
38,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,15.07
29,L3x3x1/4 Angle,ASTM A36,29.52
37,L4x4x3/8 Angle,ASTM A500 Grade C,30.04
50,PL 1/2 Steel Plate,ASTM A500 Grade B,29.15
21,PL 1/2 Steel Plate,ASTM A36,26.13
44,C8x11.5 Channel,ASTM A36,30.77
35,PL 1/2 Steel Plate,ASTM A36,29.33
35,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,13.95
36,W8x18 Wide Flange Beam,ASTM A709 Grade 50,30.62
33,L4x4x3/8 Angle,ASTM A572 Grade 50,29.66
6,W8x18 Wide Flange Beam,ASTM A500 Grade B,15.8
22,W8x18 Wide Flange Beam,ASTM A992,8.37
15,W8x18 Wide Flange Beam,ASTM A992,33.21
29,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,19.04
24,HSS4x4x1/4 Hollow Structural Section,ASTM A588,11.12
17,W10x22 Wide Flange Beam,ASTM A572 Grade 50,18.49
40,C10x15.3 Channel,ASTM A500 Grade B,29.82
16,C8x11.5 Channel,ASTM A500 Grade C,7.82
6,L3x3x1/4 Angle,ASTM A500 Grade C,4.16
41,PL 3/8 Steel Plate,ASTM A709 Grade 50,29.79
39,L4x4x3/8 Angle,ASTM A500 Grade C,21.03
18,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,13.96
30,PL 3/8 Steel Plate,ASTM A992,31.35
40,W8x18 Wide Flange Beam,ASTM A992,20.45
32,L3x3x1/4 Angle,ASTM A500 Grade C,17.96
2,L3x3x1/4 Angle,ASTM A36,29.22
2,C8x11.5 Channel,ASTM A572 Grade 50,22.59
9,PL 1/2 Steel Plate,ASTM A572 Grade 50,30.75
47,PL 1/2 Steel Plate,ASTM A500 Grade C,31.35
6,L4x4x3/8 Angle,ASTM A36,23.64
12,C8x11.5 Channel,ASTM A500 Grade C,37.48
38,PL 3/8 Steel Plate,ASTM A992,7.15
5,C10x15.3 Channel,ASTM A992,14.16
30,PL 1/2 Steel Plate,ASTM A500 Grade B,10.78
18,L3x3x1/4 Angle,ASTM A572 Grade 50,39.85
44,C10x15.3 Channel,ASTM A500 Grade C,30.21
10,HSS4x4x1/4 Hollow Structural Section,ASTM A992,3.43
50,PL 1/2 Steel Plate,ASTM A992,33.51
34,C8x11.5 Channel,ASTM A500 Grade C,6.18
12,PL 1/2 Steel Plate,ASTM A709 Grade 50,2.13
48,PL 3/8 Steel Plate,ASTM A500 Grade B,1.13
44,W10x22 Wide Flange Beam,ASTM A36,31.78
18,C8x11.5 Channel,ASTM A992,25.43
7,PL 1/2 Steel Plate,ASTM A709 Grade 50,29.81
13,C8x11.5 Channel,ASTM A500 Grade B,10.18
1,C10x15.3 Channel,ASTM A992,32.72
45,PL 3/8 Steel Plate,ASTM A992,27.85
37,C8x11.5 Channel,ASTM A500 Grade B,19.38
20,L4x4x3/8 Angle,ASTM A572 Grade 50,16.94
17,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,17.24
37,L4x4x3/8 Angle,ASTM A709 Grade 50,28.9
28,PL 3/8 Steel Plate,ASTM A709 Grade 50,7.44
41,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,39.66
44,C10x15.3 Channel,ASTM A709 Grade 50,14.72
48,C8x11.5 Channel,ASTM A709 Grade 50,14.83
31,L4x4x3/8 Angle,ASTM A992,19.1
40,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,2.66
39,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,17.5
12,L3x3x1/4 Angle,ASTM A500 Grade B,18.65
45,L4x4x3/8 Angle,ASTM A588,34.64
32,C8x11.5 Channel,ASTM A36,16.45
14,C10x15.3 Channel,ASTM A588,39.41
43,W8x18 Wide Flange Beam,ASTM A500 Grade B,33.37
41,W8x18 Wide Flange Beam,ASTM A36,9.05
28,PL 3/8 Steel Plate,ASTM A500 Grade B,11.41
9,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,38.53
32,L3x3x1/4 Angle,ASTM A500 Grade C,22.36
24,C10x15.3 Channel,ASTM A992,1.58
7,W8x18 Wide Flange Beam,ASTM A500 Grade B,20.69
41,L4x4x3/8 Angle,ASTM A709 Grade 50,22.76
2,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,2.88
30,L3x3x1/4 Angle,ASTM A992,20.83
9,L3x3x1/4 Angle,ASTM A500 Grade C,7.56
17,L4x4x3/8 Angle,ASTM A500 Grade C,18.41
11,PL 1/2 Steel Plate,ASTM A500 Grade C,11.59
42,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,14.35
31,PL 1/2 Steel Plate,ASTM A36,22.02
12,W8x18 Wide Flange Beam,ASTM A992,27.87
11,C8x11.5 Channel,ASTM A500 Grade C,27.2
49,PL 3/8 Steel Plate,ASTM A500 Grade B,6.49
29,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,20.29
48,PL 3/8 Steel Plate,ASTM A588,23.81
5,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,35.22
47,L3x3x1/4 Angle,ASTM A572 Grade 50,7.89
4,W10x22 Wide Flange Beam,ASTM A572 Grade 50,12.94
18,PL 3/8 Steel Plate,ASTM A588,22.34
1,W8x18 Wide Flange Beam,ASTM A500 Grade C,9.89
38,L4x4x3/8 Angle,ASTM A572 Grade 50,32.65
10,W10x22 Wide Flange Beam,ASTM A588,27.54
40,PL 3/8 Steel Plate,ASTM A572 Grade 50,30.62
33,L3x3x1/4 Angle,ASTM A572 Grade 50,30.67
34,PL 1/2 Steel Plate,ASTM A588,12.7
27,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,15.98
26,PL 3/8 Steel Plate,ASTM A500 Grade C,33.79
39,PL 3/8 Steel Plate,ASTM A709 Grade 50,38.12
36,L3x3x1/4 Angle,ASTM A500 Grade B,19.91
5,C10x15.3 Channel,ASTM A588,29.95
42,C8x11.5 Channel,ASTM A500 Grade C,23.69
4,PL 1/2 Steel Plate,ASTM A572 Grade 50,23.47
10,PL 3/8 Steel Plate,ASTM A588,34.9
28,PL 1/2 Steel Plate,ASTM A572 Grade 50,2.08
46,PL 1/2 Steel Plate,ASTM A709 Grade 50,21.85
36,L3x3x1/4 Angle,ASTM A500 Grade B,33.5
17,C8x11.5 Channel,ASTM A36,28.0
39,W8x18 Wide Flange Beam,ASTM A588,7.53
27,W8x18 Wide Flange Beam,ASTM A572 Grade 50,17.12
21,PL 3/8 Steel Plate,ASTM A709 Grade 50,38.73
34,PL 1/2 Steel Plate,ASTM A709 Grade 50,20.51
43,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,24.19
3,HSS6x6x3/8 Hollow Structural Section,ASTM A588,16.92
17,L3x3x1/4 Angle,ASTM A36,32.92
44,PL 1/2 Steel Plate,ASTM A992,21.27
32,C8x11.5 Channel,ASTM A500 Grade B,23.4
20,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,36.81
10,C10x15.3 Channel,ASTM A709 Grade 50,27.25
20,W8x18 Wide Flange Beam,ASTM A709 Grade 50,12.79
4,L3x3x1/4 Angle,ASTM A709 Grade 50,11.49
27,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,14.04
22,C8x11.5 Channel,ASTM A992,27.65
26,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,32.38
15,PL 3/8 Steel Plate,ASTM A500 Grade B,36.96
13,HSS4x4x1/4 Hollow Structural Section,ASTM A992,1.09
23,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,6.26
5,L4x4x3/8 Angle,ASTM A588,1.41
20,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,31.35
35,HSS6x6x3/8 Hollow Structural Section,ASTM A992,36.2
5,W8x18 Wide Flange Beam,ASTM A709 Grade 50,36.59
50,W8x18 Wide Flange Beam,ASTM A36,25.89
10,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,4.2
11,PL 3/8 Steel Plate,ASTM A500 Grade B,22.1
38,L3x3x1/4 Angle,ASTM A500 Grade B,21.47
10,PL 3/8 Steel Plate,ASTM A992,36.48
7,PL 3/8 Steel Plate,ASTM A992,22.61
9,W8x18 Wide Flange Beam,ASTM A588,39.44
1,C8x11.5 Channel,ASTM A500 Grade C,11.56
11,W8x18 Wide Flange Beam,ASTM A572 Grade 50,1.9
48,C10x15.3 Channel,ASTM A992,18.13
5,HSS6x6x3/8 Hollow Structural Section,ASTM A36,37.48
15,HSS6x6x3/8 Hollow Structural Section,ASTM A588,19.34
41,W10x22 Wide Flange Beam,ASTM A588,19.48
19,PL 3/8 Steel Plate,ASTM A500 Grade C,19.43
6,W10x22 Wide Flange Beam,ASTM A500 Grade B,7.64
44,W10x22 Wide Flange Beam,ASTM A500 Grade B,26.02
12,PL 1/2 Steel Plate,ASTM A588,20.01
9,PL 3/8 Steel Plate,ASTM A588,33.18
27,PL 3/8 Steel Plate,ASTM A572 Grade 50,19.59
25,HSS4x4x1/4 Hollow Structural Section,ASTM A588,19.05
35,HSS4x4x1/4 Hollow Structural Section,ASTM A992,26.79
18,C8x11.5 Channel,ASTM A992,34.93
45,HSS6x6x3/8 Hollow Structural Section,ASTM A588,11.87
28,HSS6x6x3/8 Hollow Structural Section,ASTM A992,35.42
4,W8x18 Wide Flange Beam,ASTM A992,17.42
46,L4x4x3/8 Angle,ASTM A992,31.91
18,PL 3/8 Steel Plate,ASTM A500 Grade C,19.63
5,PL 1/2 Steel Plate,ASTM A588,34.07
38,PL 1/2 Steel Plate,ASTM A709 Grade 50,7.69
5,L4x4x3/8 Angle,ASTM A572 Grade 50,22.44
38,L4x4x3/8 Angle,ASTM A36,9.18
31,L4x4x3/8 Angle,ASTM A588,9.86
9,C8x11.5 Channel,ASTM A992,15.15
37,PL 1/2 Steel Plate,ASTM A500 Grade C,36.33
11,L3x3x1/4 Angle,ASTM A992,19.53
6,L3x3x1/4 Angle,ASTM A500 Grade B,1.26
46,PL 3/8 Steel Plate,ASTM A588,17.16
46,PL 1/2 Steel Plate,ASTM A588,34.08
44,W8x18 Wide Flange Beam,ASTM A588,36.21
24,HSS6x6x3/8 Hollow Structural Section,ASTM A992,36.98
35,W10x22 Wide Flange Beam,ASTM A588,22.54
23,C10x15.3 Channel,ASTM A572 Grade 50,9.01
3,PL 1/2 Steel Plate,ASTM A500 Grade B,30.15
1,PL 1/2 Steel Plate,ASTM A572 Grade 50,16.78
39,C10x15.3 Channel,ASTM A588,2.39
49,L3x3x1/4 Angle,ASTM A572 Grade 50,1.52
43,W8x18 Wide Flange Beam,ASTM A572 Grade 50,19.33
42,L4x4x3/8 Angle,ASTM A992,32.48
49,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,12.53
9,C10x15.3 Channel,ASTM A588,19.29
32,L4x4x3/8 Angle,ASTM A572 Grade 50,18.68
19,L4x4x3/8 Angle,ASTM A572 Grade 50,37.64
3,W8x18 Wide Flange Beam,ASTM A36,25.76
10,C10x15.3 Channel,ASTM A992,23.14
6,PL 1/2 Steel Plate,ASTM A572 Grade 50,35.45
35,PL 1/2 Steel Plate,ASTM A709 Grade 50,14.69
17,HSS6x6x3/8 Hollow Structural Section,ASTM A992,8.46
46,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,5.55
31,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,25.66
33,HSS4x4x1/4 Hollow Structural Section,ASTM A36,30.68
26,W8x18 Wide Flange Beam,ASTM A36,5.44
18,PL 1/2 Steel Plate,ASTM A709 Grade 50,2.45
50,PL 3/8 Steel Plate,ASTM A500 Grade B,13.13
3,PL 3/8 Steel Plate,ASTM A36,16.68
10,PL 1/2 Steel Plate,ASTM A500 Grade C,5.84
12,HSS4x4x1/4 Hollow Structural Section,ASTM A992,11.36
31,L3x3x1/4 Angle,ASTM A588,7.18
44,C10x15.3 Channel,ASTM A500 Grade C,26.77
5,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,21.25
4,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,22.09
6,HSS6x6x3/8 Hollow Structural Section,ASTM A36,32.56
21,PL 1/2 Steel Plate,ASTM A992,10.85
25,W8x18 Wide Flange Beam,ASTM A992,29.25
32,C8x11.5 Channel,ASTM A992,14.81
2,HSS6x6x3/8 Hollow Structural Section,ASTM A588,18.92
34,W8x18 Wide Flange Beam,ASTM A500 Grade C,13.82
40,PL 3/8 Steel Plate,ASTM A992,35.73
43,W8x18 Wide Flange Beam,ASTM A992,31.89
27,W10x22 Wide Flange Beam,ASTM A36,17.21
19,PL 3/8 Steel Plate,ASTM A572 Grade 50,25.3
37,C10x15.3 Channel,ASTM A992,28.42
4,PL 1/2 Steel Plate,ASTM A500 Grade C,21.05
4,C10x15.3 Channel,ASTM A588,4.34
10,PL 3/8 Steel Plate,ASTM A709 Grade 50,4.8
35,PL 1/2 Steel Plate,ASTM A572 Grade 50,19.31
13,PL 1/2 Steel Plate,ASTM A500 Grade B,9.55
37,L3x3x1/4 Angle,ASTM A500 Grade B,17.33
44,PL 3/8 Steel Plate,ASTM A572 Grade 50,14.35
48,W8x18 Wide Flange Beam,ASTM A36,14.75
19,C8x11.5 Channel,ASTM A572 Grade 50,27.94
21,L4x4x3/8 Angle,ASTM A500 Grade C,14.88
22,L4x4x3/8 Angle,ASTM A709 Grade 50,13.11
39,C10x15.3 Channel,ASTM A36,18.64
36,L4x4x3/8 Angle,ASTM A572 Grade 50,30.62
13,L4x4x3/8 Angle,ASTM A588,34.44
11,C8x11.5 Channel,ASTM A500 Grade C,7.18
39,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,26.32
28,W8x18 Wide Flange Beam,ASTM A588,15.4
35,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,36.72
29,PL 1/2 Steel Plate,ASTM A500 Grade B,1.96
50,PL 3/8 Steel Plate,ASTM A572 Grade 50,12.83
21,W8x18 Wide Flange Beam,ASTM A992,6.03
6,C8x11.5 Channel,ASTM A500 Grade C,37.36
44,W10x22 Wide Flange Beam,ASTM A709 Grade 50,9.0
31,C10x15.3 Channel,ASTM A588,36.21
21,W10x22 Wide Flange Beam,ASTM A36,3.98
47,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,28.35
40,HSS4x4x1/4 Hollow Structural Section,ASTM A588,9.2
1,HSS6x6x3/8 Hollow Structural Section,ASTM A36,35.63
31,L4x4x3/8 Angle,ASTM A588,32.52
47,PL 1/2 Steel Plate,ASTM A588,35.16
15,L4x4x3/8 Angle,ASTM A588,33.79
47,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,6.43
43,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,27.23
17,L4x4x3/8 Angle,ASTM A572 Grade 50,27.75
37,PL 3/8 Steel Plate,ASTM A992,22.8
20,L3x3x1/4 Angle,ASTM A572 Grade 50,26.79
9,C10x15.3 Channel,ASTM A500 Grade B,19.09
3,PL 1/2 Steel Plate,ASTM A588,26.74
32,W10x22 Wide Flange Beam,ASTM A709 Grade 50,14.5
46,W10x22 Wide Flange Beam,ASTM A500 Grade B,20.51
44,PL 1/2 Steel Plate,ASTM A500 Grade B,26.76
45,PL 1/2 Steel Plate,ASTM A709 Grade 50,1.72
36,C8x11.5 Channel,ASTM A500 Grade B,33.49
47,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,7.52
1,C8x11.5 Channel,ASTM A572 Grade 50,28.67
7,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,35.78
47,PL 3/8 Steel Plate,ASTM A500 Grade B,16.2
10,W8x18 Wide Flange Beam,ASTM A36,12.28
11,C8x11.5 Channel,ASTM A572 Grade 50,21.26
43,PL 3/8 Steel Plate,ASTM A709 Grade 50,23.04
36,PL 1/2 Steel Plate,ASTM A36,9.01
39,C10x15.3 Channel,ASTM A992,8.06
10,C10x15.3 Channel,ASTM A572 Grade 50,24.3
39,C8x11.5 Channel,ASTM A572 Grade 50,13.21
7,PL 3/8 Steel Plate,ASTM A572 Grade 50,2.84
48,W8x18 Wide Flange Beam,ASTM A588,5.56
6,PL 3/8 Steel Plate,ASTM A36,21.39
3,HSS6x6x3/8 Hollow Structural Section,ASTM A992,11.75
25,L4x4x3/8 Angle,ASTM A36,22.01
33,L3x3x1/4 Angle,ASTM A500 Grade C,6.46
23,HSS4x4x1/4 Hollow Structural Section,ASTM A36,26.55
37,C10x15.3 Channel,ASTM A572 Grade 50,35.37
3,HSS4x4x1/4 Hollow Structural Section,ASTM A36,5.16
22,C8x11.5 Channel,ASTM A992,31.96
8,C10x15.3 Channel,ASTM A992,29.55
7,W8x18 Wide Flange Beam,ASTM A500 Grade B,38.73
9,W10x22 Wide Flange Beam,ASTM A992,3.59
19,W8x18 Wide Flange Beam,ASTM A500 Grade C,36.1
36,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,38.61
2,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,11.77
35,PL 1/2 Steel Plate,ASTM A709 Grade 50,29.88
39,PL 3/8 Steel Plate,ASTM A36,28.75
17,L4x4x3/8 Angle,ASTM A588,1.6
24,L4x4x3/8 Angle,ASTM A36,8.83
49,W10x22 Wide Flange Beam,ASTM A572 Grade 50,20.13
42,PL 3/8 Steel Plate,ASTM A992,22.76
23,W10x22 Wide Flange Beam,ASTM A500 Grade C,27.91
38,PL 1/2 Steel Plate,ASTM A500 Grade B,24.09
42,C10x15.3 Channel,ASTM A572 Grade 50,19.79
18,PL 1/2 Steel Plate,ASTM A36,36.34
2,L4x4x3/8 Angle,ASTM A588,20.01
10,C10x15.3 Channel,ASTM A500 Grade C,17.03
41,C10x15.3 Channel,ASTM A588,6.18
49,C8x11.5 Channel,ASTM A36,13.83
14,PL 3/8 Steel Plate,ASTM A36,4.01
47,C8x11.5 Channel,ASTM A709 Grade 50,5.41
17,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,1.92
3,HSS4x4x1/4 Hollow Structural Section,ASTM A992,10.64
27,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,7.84
23,HSS6x6x3/8 Hollow Structural Section,ASTM A588,9.58
37,C8x11.5 Channel,ASTM A588,12.56
6,PL 1/2 Steel Plate,ASTM A709 Grade 50,24.33
35,L3x3x1/4 Angle,ASTM A500 Grade C,27.81
21,C10x15.3 Channel,ASTM A992,35.49
18,PL 1/2 Steel Plate,ASTM A500 Grade C,28.62
24,C8x11.5 Channel,ASTM A992,35.27
46,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,37.02
27,C10x15.3 Channel,ASTM A992,24.97
3,L3x3x1/4 Angle,ASTM A709 Grade 50,21.79
14,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,30.03
1,W10x22 Wide Flange Beam,ASTM A36,34.72
25,PL 3/8 Steel Plate,ASTM A36,6.47
39,PL 3/8 Steel Plate,ASTM A500 Grade B,38.44
27,L3x3x1/4 Angle,ASTM A36,34.66
22,PL 3/8 Steel Plate,ASTM A709 Grade 50,38.73
6,W8x18 Wide Flange Beam,ASTM A36,18.71
3,C8x11.5 Channel,ASTM A588,11.92
10,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,10.48
49,W10x22 Wide Flange Beam,ASTM A500 Grade C,5.27
34,L4x4x3/8 Angle,ASTM A36,20.69
36,C8x11.5 Channel,ASTM A709 Grade 50,34.88
1,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,39.3
23,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,30.26
26,W10x22 Wide Flange Beam,ASTM A709 Grade 50,15.75
48,C8x11.5 Channel,ASTM A588,15.8
3,L3x3x1/4 Angle,ASTM A992,11.33
39,HSS6x6x3/8 Hollow Structural Section,ASTM A588,2.06
21,W10x22 Wide Flange Beam,ASTM A500 Grade C,29.49
7,W10x22 Wide Flange Beam,ASTM A588,36.57
10,PL 1/2 Steel Plate,ASTM A500 Grade B,15.74
39,C8x11.5 Channel,ASTM A992,21.01
19,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,3.68
48,C10x15.3 Channel,ASTM A588,11.19
34,L3x3x1/4 Angle,ASTM A500 Grade C,9.28
4,PL 1/2 Steel Plate,ASTM A500 Grade C,22.0
34,L4x4x3/8 Angle,ASTM A588,34.14
4,HSS6x6x3/8 Hollow Structural Section,ASTM A36,16.72
9,PL 1/2 Steel Plate,ASTM A500 Grade B,19.12
7,PL 3/8 Steel Plate,ASTM A500 Grade C,37.3
14,HSS4x4x1/4 Hollow Structural Section,ASTM A588,1.5
32,C8x11.5 Channel,ASTM A500 Grade C,15.58
32,L3x3x1/4 Angle,ASTM A588,34.9
18,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,37.69
39,PL 3/8 Steel Plate,ASTM A500 Grade B,35.67
42,W10x22 Wide Flange Beam,ASTM A709 Grade 50,24.06
41,W10x22 Wide Flange Beam,ASTM A500 Grade B,5.35
16,L4x4x3/8 Angle,ASTM A36,10.21
38,W10x22 Wide Flange Beam,ASTM A572 Grade 50,39.53
3,HSS4x4x1/4 Hollow Structural Section,ASTM A36,7.85
29,HSS4x4x1/4 Hollow Structural Section,ASTM A992,20.49
19,HSS4x4x1/4 Hollow Structural Section,ASTM A36,15.08
4,L4x4x3/8 Angle,ASTM A572 Grade 50,13.94
9,PL 3/8 Steel Plate,ASTM A588,11.03
8,HSS4x4x1/4 Hollow Structural Section,ASTM A588,15.14
29,L3x3x1/4 Angle,ASTM A992,31.14
27,W10x22 Wide Flange Beam,ASTM A500 Grade B,11.55
37,PL 3/8 Steel Plate,ASTM A588,6.24
22,HSS6x6x3/8 Hollow Structural Section,ASTM A992,13.14
2,L4x4x3/8 Angle,ASTM A588,10.44
5,L4x4x3/8 Angle,ASTM A36,23.52
21,L4x4x3/8 Angle,ASTM A992,6.72
50,PL 3/8 Steel Plate,ASTM A36,12.08
19,W8x18 Wide Flange Beam,ASTM A709 Grade 50,2.33
1,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,2.85
16,PL 1/2 Steel Plate,ASTM A572 Grade 50,25.41
28,PL 1/2 Steel Plate,ASTM A709 Grade 50,30.84
28,C10x15.3 Channel,ASTM A709 Grade 50,27.17
50,C10x15.3 Channel,ASTM A709 Grade 50,18.95
49,PL 1/2 Steel Plate,ASTM A500 Grade C,19.51
29,W8x18 Wide Flange Beam,ASTM A500 Grade C,35.33
44,C10x15.3 Channel,ASTM A36,36.06
42,C8x11.5 Channel,ASTM A588,9.52
43,HSS6x6x3/8 Hollow Structural Section,ASTM A36,24.63
31,PL 1/2 Steel Plate,ASTM A500 Grade C,6.57
40,PL 3/8 Steel Plate,ASTM A36,2.99
44,W8x18 Wide Flange Beam,ASTM A992,29.47
32,C10x15.3 Channel,ASTM A500 Grade C,38.15
48,PL 1/2 Steel Plate,ASTM A500 Grade C,12.92
48,L3x3x1/4 Angle,ASTM A36,33.1
46,PL 3/8 Steel Plate,ASTM A709 Grade 50,25.74
18,HSS6x6x3/8 Hollow Structural Section,ASTM A36,17.85
19,L4x4x3/8 Angle,ASTM A588,11.02
36,C10x15.3 Channel,ASTM A588,39.03
31,C8x11.5 Channel,ASTM A709 Grade 50,4.53
34,PL 1/2 Steel Plate,ASTM A36,39.83
37,C10x15.3 Channel,ASTM A992,32.85
35,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,14.79
12,PL 1/2 Steel Plate,ASTM A500 Grade C,36.96
9,L3x3x1/4 Angle,ASTM A500 Grade B,13.42
38,W10x22 Wide Flange Beam,ASTM A500 Grade C,21.21
47,C10x15.3 Channel,ASTM A500 Grade C,26.51
25,PL 3/8 Steel Plate,ASTM A500 Grade B,4.72
6,L3x3x1/4 Angle,ASTM A588,16.06
8,L4x4x3/8 Angle,ASTM A500 Grade B,36.79
49,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,11.23
9,PL 1/2 Steel Plate,ASTM A500 Grade B,6.26
15,C8x11.5 Channel,ASTM A500 Grade C,12.15
13,W8x18 Wide Flange Beam,ASTM A500 Grade C,26.29
6,L4x4x3/8 Angle,ASTM A500 Grade B,39.35
17,PL 3/8 Steel Plate,ASTM A992,5.11
48,HSS6x6x3/8 Hollow Structural Section,ASTM A992,9.36
45,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,14.63
16,L3x3x1/4 Angle,ASTM A709 Grade 50,22.44
33,HSS4x4x1/4 Hollow Structural Section,ASTM A36,31.85
49,W10x22 Wide Flange Beam,ASTM A572 Grade 50,37.01
39,L3x3x1/4 Angle,ASTM A572 Grade 50,33.15
11,C10x15.3 Channel,ASTM A588,16.4
48,L4x4x3/8 Angle,ASTM A500 Grade C,14.1
36,W10x22 Wide Flange Beam,ASTM A992,38.34
43,W8x18 Wide Flange Beam,ASTM A709 Grade 50,28.59
43,L3x3x1/4 Angle,ASTM A709 Grade 50,21.75
